Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
k99_10143_1	k99_10143	2	622	-	tet(40)	tetracycline efflux MFS transporter Tet(40)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	PARTIAL_CONTIG_ENDP	207	406	50.99	99.52	207	WP_009247026.1	tetracycline efflux MFS transporter Tet(40)	NA	NA
k99_13684_1	k99_13684	209	703	-	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	165	164	100.00	98.17	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NF000141.1	lincosamide nucleotidyltransferase Lnu(C)
k99_14442_3	k99_14442	960	1826	+	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	289	288	100.00	100.00	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NF033084.2	aminoglycoside 6-nucleotidyltransferase
k99_15670_2	k99_15670	428	2347	-	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	640	641	99.69	99.22	639	WP_063856407.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012154.0	tetracycline resistance ribosomal protection protein Tet(Q)
k99_18047_1	k99_18047	2	505	-	ant(6)-Ib	aminoglycoside nucleotidyltransferase ANT(6)-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDP	168	285	58.95	100.00	168	WP_003454325.1	aminoglycoside nucleotidyltransferase ANT(6)-Ib	NA	NA
k99_18802_3	k99_18802	1136	3058	+	tet(44)	tetracycline resistance ribosomal protection protein Tet(44)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	641	640	100.00	99.06	640	WP_063855884.1	tetracycline resistance ribosomal protection protein Tet(44)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
k99_19068_4	k99_19068	1872	2648	+	aad9	ANT(9) family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTP	259	258	100.00	100.00	258	WP_002578722.1	ANT(9) family aminoglycoside nucleotidyltransferase	NF012212.1	ANT(9) family aminoglycoside nucleotidyltransferase
k99_19169_2	k99_19169	204	716	-	lnu(AN2)	lincosamide nucleotidyltransferase Lnu(AN2)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	171	170	100.00	99.41	170	WP_004308783.1	lincosamide nucleotidyltransferase Lnu(AN2)	NF000153.1	lincosamide nucleotidyltransferase Lnu(AN2)
k99_19169_3	k99_19169	741	1946	-	mef(En2)	macrolide efflux MFS transporter Mef(En2)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	402	401	100.00	99.50	401	WP_063853729.1	macrolide efflux MFS transporter Mef(En2)	NF000154.1	macrolide efflux MFS transporter Mef(En2)
k99_20207_2	k99_20207	432	929	-	nimJ	5-nitroimidazole reductase NimJ	core	AMR	AMR	NITROIMIDAZOLE	NITROIMIDAZOLE	BLASTP	166	165	100.00	99.39	165	WP_005812825.1	5-nitroimidazole reductase NimJ	NF000262.1	NimIJ family 5-nitroimidazole reductase
k99_21085_1	k99_21085	33	767	+	erm(G)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	ERYTHROMYCIN/LINCOSAMIDE/STREPTOGRAMIN/TYLOSIN	BLASTP	245	244	100.00	99.59	244	WP_014387027.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G)	NF045543.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G)
k99_22531_1	k99_22531	110	760	-	blaACI	ACI family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	PARTIAL_CONTIG_ENDP	217	284	76.06	100.00	216	WP_006555379.1	extended-spectrum class A beta-lactamase ACI-1	NF033103.1	class A beta-lactamase
k99_226_1	k99_226	867	1832	+	cfxA	CfxA family broad-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	322	321	100.00	99.38	321	WP_004339683.1	CfxA family broad-spectrum class A beta-lactamase	NF033100.1	CfxA family broad-spectrum class A beta-lactamase
k99_24593_5	k99_24593	4295	5257	-	cfxA6	broad-spectrum class A beta-lactamase CfxA6	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	321	320	100.00	99.06	320	WP_117664257.1	broad-spectrum class A beta-lactamase CfxA6	NF033100.1	CfxA family broad-spectrum class A beta-lactamase
k99_25498_1	k99_25498	3	689	-	estT	macrolide hydrolase EstT	core	AMR	AMR	MACROLIDE	TYLOSIN	PARTIAL_CONTIG_ENDP	229	282	81.91	97.84	231	WP_185148407.1	macrolide hydrolase EstT	NA	NA
k99_26120_8	k99_26120	3966	5426	+	lsa	Lsa family ABC-F type ribosomal protection protein	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	HMM	487	492	100.00	68.50	492	WP_011133547.1	Lsa family ABC-F type ribosomal protection protein	NF000167.2	Lsa family ABC-F type ribosomal protection protein
k99_31830_2	k99_31830	1013	1885	+	ant(6)	aminoglycoside 6-nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	HMM	291	285	97.54	67.63	278	WP_003454325.1	aminoglycoside 6-nucleotidyltransferase	NF033084.2	aminoglycoside 6-nucleotidyltransferase
k99_33648_3	k99_33648	1105	2322	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	INTERNAL_STOP	406	408	99.26	98.77	405	WP_012102963.1	macrolide efflux MFS transporter Mef(A)	NF000245.1	macrolide efflux MFS transporter Mef(A)
k99_35535_1	k99_35535	3	467	+	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	PARTIAL_CONTIG_ENDP	155	180	85.56	100.00	154	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
